Index,Property Prices,Longitude,Latitude,Size,Floor,Highest floor,Units,Parking,Heating,Year,Delentropy,Delentropy_d,Dist. Green,Dist. Water,Dist. Subway,Bust Stop,Dist. CBD,Top Univ.,High School,Sex Ratio,Population,Pop. Density,Higher Degree,Young Population,Median Age,Old Population,Spring,Fall,Winter
3525,9.392661929,127.316855,36.375594,49.4,14,15,251,1,0,2004,7.093581491,2.334221077,5.334758107,6.696143292,5.515525158,2,7233.768375,7,5,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,1,0
3531,9.740968623,127.317375,36.373434,84.14,10,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.696143292,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3531,9.764225485,127.317375,36.373434,84.14,4,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3531,9.648595303,127.317375,36.373434,84.14,10,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,1,0,0
3531,9.740968623,127.317375,36.373434,84.14,4,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,0
3531,9.775654181,127.317375,36.373434,84.14,10,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3531,9.740968623,127.317375,36.373434,84.14,4,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
3531,9.928180165,127.317375,36.373434,84.14,9,10,91,1.57,0,2005,7.093581491,2.293655611,5.042613012,6.751892461,4.790080923,5,7112.143481,12,6,97.4040932,22281,1954.473684,40.28588575,17.73708541,37,8.985234056,0,0,1
1741,10.62619354,127.396905,36.357189,137.31,15,15,1260,1.5,0,1991,7.916805954,,6.572303511,6.220823576,7.391705036,13,1401.011866,34,17,93.78782148,20495,27326.66667,39.4645845,12.51524762,44,14.46206392,0,0,1
1741,10.58405595,127.396905,36.357189,137.31,5,15,1260,1.5,0,1991,7.916805954,,6.572303511,6.220823576,7.391705036,13,1401.011866,34,17,93.78782148,20495,27326.66667,39.4645845,12.51524762,44,14.46206392,0,0,1
